topic,n,distrust,trust,incivil
other4,19137,0.51301212525782,0.132785286982886,0.10844974853302
labour_displacement,19310,0.438599745271798,0.199465940159385,0.0141979540414618
capability_quality,23063,0.293980985425846,0.294082987631881,0.00527420736388847
regulation_policy,20389,0.553767104462352,0.108729334653295,0.0710881908940257
,577813,0.160598428832469,0.0875153085947756,0.0297311184866995
other3,17015,0.420583143557545,0.170226556238091,0.0132342353719331
corporate_money,21176,0.484918274243976,0.155076405983162,0.0167112683506164
privacy_data,14284,0.404025513692056,0.182587677389511,0.0102822338457686
companionship_use,17091,0.378870419858896,0.204388120859488,0.0305420681071027
other1,11677,0.437444849851199,0.17065727069208,0.0320206263332033
other2,18763,0.336777843896839,0.233571502592092,0.00230607027336331
education_cheating,16430,0.394083512963022,0.188400376942316,0.0165364798795053
art_copyright,20049,0.445346723146568,0.158066940238779,0.0301450381463616
accuracy_hallucination,16049,0.427417037069342,0.161609778036667,0.0128740952910323
safety_alignment,12272,0.45782958662414,0.131882131888176,0.0150654693310902
