term,estimate,se,z,p,odds_ratio,or_low,or_high,p_adj
(Intercept),-5.0503,0.1379,-36.6181,1.47359564762846e-293,0.0064,0.0049,0.0084,2.35775303620554e-292
stance3trust,-18.5019,1507.3589,-0.0123,0.990206685634456,0,0,Inf,0.990598681639946
stance3distrust,1.5983,0.0523,30.5315,9.95724876035255e-205,4.9446,4.4624,5.4789,7.96579900828204e-204
stance3ambivalent,-16.2141,1376.0455,-0.0118,0.990598681639946,0,0,Inf,0.990598681639946
log_words,-0.4607,0.0299,-15.4193,1.21497312576895e-53,0.6308,0.595,0.6689,3.88791400246064e-53
depth_c,0.5169,0.0172,30.1309,1.91041169589841e-199,1.6768,1.6213,1.7341,1.01888623781249e-198
caps_ratio,-0.102,0.0297,-3.4301,0.000603375190095674,0.903,0.8519,0.9572,0.00120675038019135
n_2ndperson,0.4351,0.0184,23.7015,3.47892070715018e-124,1.5451,1.4905,1.6017,1.39156828286007e-123
venueChatGPT,0.6156,0.1131,5.4437,5.2195092053043e-08,1.8508,1.4828,2.31,1.39186912141448e-07
venueMachineLearning,-0.4289,0.2975,-1.4418,0.149345481878841,0.6512,0.3635,1.1667,0.226019410446033
venueOpenAI,0.6576,0.126,5.2192,1.79741456354772e-07,1.9301,1.5077,2.4707,4.10837614525193e-07
month2026-04,-0.1199,0.1027,-1.1684,0.242639829617789,0.887,0.7253,1.0847,0.323519772823719
month2026-05,-0.0827,0.1035,-0.7985,0.424582188958017,0.9206,0.7515,1.1278,0.522562694102175
month2026-06,-0.2085,0.107,-1.9486,0.0513420833015793,0.8118,0.6583,1.0012,0.0912748147583632
month2026-07,-0.1507,0.1061,-1.4208,0.155388344681648,0.8601,0.6987,1.0589,0.226019410446033
month2026-08,-0.0494,0.1061,-0.4653,0.641689875968661,0.9518,0.7731,1.1719,0.733359858249898
