variable,type,n,alpha,pct_agree,prevalence
relevance,nominal,358,0.907142857142857,0.977653631284916,
stance,nominal,358,0.872163154381615,0.916201117318436,
dimension,nominal,358,0.885692707156127,0.918994413407821,
target,nominal,358,0.769131417500807,0.835195530726257,
incivility_direction,nominal,358,0.963035723517551,0.988826815642458,
name_calling,binary,358,1,1,0.0474860335195531
vulgarity,binary,358,0.971540023086415,0.997206703910615,0.0516759776536313
aspersion,binary,358,0.972919743968489,0.997206703910615,0.0544692737430168
lying_accusation,binary,358,1,1,0.00837988826815642
pejorative_speech,binary,358,0.931781318576472,0.991620111731844,0.0656424581005587
identity_attack,binary,358,,1,0
threat,binary,358,,1,0
any_incivility,binary,358,0.95160744500846,0.986033519553073,0.174581005586592
