variable,population,weighted_sample,abs_diff,std_diff
n_words,35.5445,35.8116,0.267,0.0045
depth,1.3935,1.3372,0.0563,0.0231
caps_ratio,0.0448,0.0448,0.0,0.0005
n_2ndperson,0.7607,0.75,0.0107,0.0057
n_links,0.0697,0.0716,0.0019,0.0049
score,5.993,7.5788,1.5858,0.0327
is_top_level,0.4657,0.4692,0.0035,0.0071
month 2026-03,0.1815,0.1838,0.0023,
month 2026-04,0.1725,0.1713,0.0012,
month 2026-05,0.1796,0.1812,0.0016,
month 2026-06,0.1567,0.1559,0.0008,
month 2026-07,0.158,0.1578,0.0002,
month 2026-08,0.1518,0.1499,0.0018,
