stratum,N_h,n_h,pi_h,w_h
ChatGPT|noref|short,221383,334,0.00151,662.8
ChatGPT|noref|medium,133308,260,0.00195,512.7
ChatGPT|airef|medium,80487,624,0.00775,129
ChatGPT|airef|long,59310,536,0.00904,110.7
OpenAI|noref|short,48230,156,0.00323,309.2
ChatGPT|airef|short,41340,447,0.01081,92.5
OpenAI|noref|medium,37233,137,0.00368,271.8
ChatGPT|noref|long,32097,127,0.00396,252.7
OpenAI|airef|medium,25918,354,0.01366,73.2
artificial|noref|medium,19969,100,0.00501,199.7
artificial|airef|long,19779,309,0.01562,64
OpenAI|airef|long,19011,303,0.01594,62.7
artificial|noref|short,18998,98,0.00516,193.9
artificial|airef|medium,15868,277,0.01746,57.3
OpenAI|airef|short,11036,231,0.02093,47.8
MachineLearning|noref|medium,8158,64,0.00785,127.5
OpenAI|noref|long,8149,64,0.00785,127.3
artificial|noref|long,6592,58,0.0088,113.7
MachineLearning|noref|short,6556,58,0.00885,113
artificial|airef|short,4592,149,0.03245,30.8
MachineLearning|noref|long,3711,43,0.01159,86.3
MachineLearning|airef|long,3085,122,0.03955,25.3
MachineLearning|airef|medium,1925,97,0.05039,19.8
MachineLearning|airef|short,498,49,0.09839,10.2
