topic,0,1,10,11,12,13,2,3,4,5,6,7,8,9
accuracy_hallucination,278,273,1125,307,51,173,323,1732,389,84,786,589,110,354
art_copyright,142,3503,278,140,217,130,152,790,208,91,977,165,1343,117
capability_quality,2188,63,173,106,40,103,1947,1254,589,254,81,204,243,2659
companionship_use,137,343,1005,62,165,349,144,1713,259,105,2025,243,106,162
corporate_money,699,95,41,154,1136,1120,160,448,1803,2348,151,244,111,130
education_cheating,191,239,280,506,264,445,62,371,326,111,1157,2112,107,86
labour_displacement,110,490,110,742,2428,757,36,236,321,122,2022,233,91,48
other1,351,315,508,96,219,358,135,627,543,182,636,214,160,220
other2,696,262,457,1489,323,277,80,583,605,139,545,2023,234,262
other3,926,204,890,97,138,303,342,1993,473,252,296,164,291,455
other4,470,566,589,91,296,788,207,1084,867,332,858,217,304,260
privacy_data,868,119,270,313,109,145,203,1703,1001,290,184,227,154,321
regulation_policy,79,192,91,54,2263,2655,52,373,494,1020,590,108,110,94
safety_alignment,165,181,265,360,328,496,80,379,489,374,699,1132,133,87
