ym,topic,N,share
2026-03,capability_quality,6489,0.121994322347766
2026-03,regulation_policy,6303,0.11849749017691
2026-03,corporate_money,4792,0.0900904288319452
2026-03,other4,4324,0.0812919478859206
2026-03,other3,3897,0.0732642740313211
2026-03,labour_displacement,3497,0.0657442048466846
2026-03,companionship_use,3465,0.0651425993119137
2026-03,accuracy_hallucination,3392,0.0637701866857175
2026-03,other2,3275,0.0615705664492113
2026-03,art_copyright,3215,0.0604425560715159
2026-03,privacy_data,2873,0.0540128969186517
2026-03,other1,2847,0.0535240924216503
2026-03,education_cheating,2780,0.0522644808332237
2026-03,safety_alignment,2042,0.0383899531875693
2026-04,capability_quality,3957,0.0943828264758497
2026-04,other2,3597,0.0857960644007156
2026-04,accuracy_hallucination,3542,0.0844841979725701
2026-04,art_copyright,3378,0.0805724508050089
2026-04,other4,3364,0.0802385211687537
2026-04,labour_displacement,3039,0.0724865831842576
2026-04,regulation_policy,2959,0.0705784138342278
2026-04,education_cheating,2924,0.0697435897435897
2026-04,other3,2919,0.0696243291592129
2026-04,companionship_use,2896,0.0690757304710793
2026-04,corporate_money,2856,0.0681216457960644
2026-04,other1,2221,0.0529755515802027
2026-04,safety_alignment,2189,0.0522122838401908
2026-04,privacy_data,2084,0.0497078115682767
2026-05,other2,4569,0.11523619763424
2026-05,art_copyright,3960,0.0998764155464198
2026-05,labour_displacement,3913,0.0986910136447325
2026-05,education_cheating,3047,0.0768493530732175
2026-05,other4,2925,0.0737723523922419
2026-05,corporate_money,2799,0.0705944664430377
2026-05,capability_quality,2708,0.0682993265908346
2026-05,regulation_policy,2680,0.0675931297132336
2026-05,companionship_use,2489,0.0627758581553129
2026-05,accuracy_hallucination,2410,0.0607833741077959
2026-05,other3,2321,0.0585386768897072
2026-05,privacy_data,2093,0.0527882166006709
2026-05,safety_alignment,2012,0.0507452899190396
2026-05,other1,1723,0.0434563292895155
2026-06,corporate_money,3785,0.100392552119251
2026-06,art_copyright,3491,0.0925945573179142
2026-06,labour_displacement,3212,0.0851944193941966
2026-06,other2,2930,0.0777147100949552
2026-06,other4,2910,0.0771842342581295
2026-06,capability_quality,2874,0.0762293777518434
2026-06,regulation_policy,2860,0.0758580446660655
2026-06,companionship_use,2741,0.072701713436953
2026-06,education_cheating,2560,0.067900907113681
2026-06,other3,2467,0.0654341944724418
2026-06,accuracy_hallucination,2375,0.0629940056230439
2026-06,privacy_data,2084,0.0552755821972309
2026-06,safety_alignment,1868,0.0495464431595141
2026-06,other1,1545,0.0409792583947801
2026-07,corporate_money,4316,0.112363645830621
2026-07,capability_quality,3815,0.0993205071463904
2026-07,regulation_policy,2834,0.07378094816589
2026-07,privacy_data,2796,0.0727916482257687
2026-07,other3,2793,0.072713545598917
2026-07,labour_displacement,2791,0.0726614771810159
2026-07,art_copyright,2747,0.0715159719871912
2026-07,other4,2742,0.0713858009424384
2026-07,companionship_use,2631,0.0684960037489261
2026-07,education_cheating,2476,0.0644607013615891
2026-07,other2,2389,0.0621957251828903
2026-07,accuracy_hallucination,2219,0.0577699096612949
2026-07,safety_alignment,2143,0.0557913097810523
2026-07,other1,1719,0.0447528051860144
2026-08,art_copyright,3254,0.0910133415377731
2026-08,capability_quality,3208,0.0897267362179398
2026-08,other4,2868,0.0802170447235197
2026-08,companionship_use,2867,0.0801890750426538
2026-08,labour_displacement,2853,0.0797974995105306
2026-08,regulation_policy,2745,0.0767767739770089
2026-08,education_cheating,2638,0.0737840181243532
2026-08,corporate_money,2617,0.0731966548261684
2026-08,other3,2609,0.0729728973792409
2026-08,privacy_data,2350,0.0657287500349621
2026-08,accuracy_hallucination,2107,0.0589321175845384
2026-08,safety_alignment,2017,0.0564148463066036
2026-08,other2,1999,0.0559113920510167
2026-08,other1,1621,0.0453388526836909
2026-09,capability_quality,12,0.162162162162162
2026-09,corporate_money,11,0.148648648648649
2026-09,other3,9,0.121621621621622
2026-09,regulation_policy,8,0.108108108108108
2026-09,education_cheating,5,0.0675675675675676
2026-09,labour_displacement,5,0.0675675675675676
2026-09,privacy_data,4,0.0540540540540541
2026-09,other4,4,0.0540540540540541
2026-09,other2,4,0.0540540540540541
2026-09,accuracy_hallucination,4,0.0540540540540541
2026-09,art_copyright,4,0.0540540540540541
2026-09,companionship_use,2,0.027027027027027
2026-09,other1,1,0.0135135135135135
2026-09,safety_alignment,1,0.0135135135135135
