cluster,n,share,terms
3,16471,0.1373,"chatgpt, chat, ai, gpt, model, new, ask, image, app, prompt, chats, openai, doesn, conversation, does"
6,11559,0.0963,"ai, human, real, humans, doesn, right, thinking, tool, isn, point, problem, does, understand, feel, wrong"
4,10218,0.0852,"models, data, model, free, google, money, real, users, company, doesn, new, right, point, companies, pay"
7,9868,0.0822,"model, llms, llm, ai, models, data, agent, real, problem, human, context, training, right, prompt, doesn"
13,9828,0.0819,"data, money, companies, tech, company, world, right, government, ai, doesn, real, years, technology, point, new"
10,9466,0.0789,"ask, tell, does, voice, doesn, right, prompt, real, answer, ai, wrong, help, day, trying, feel"
0,9463,0.0789,"gpt, model, models, codex, free, ai, code, pro, usage, app, opus, sol, claude, new, plan"
12,8172,0.0681,"ai, companies, data, human, jobs, real, models, money, years, company, humans, isn, world, water, new"
1,7590,0.0633,"ai, writing, human, art, real, generated, write, slop, content, image, ai generated, doesn, text, point, isn"
8,6303,0.0525,"image, ai, images, model, prompt, real, video, text, gpt, photo, right, generate, models, new, generation"
5,6104,0.0509,"openai, anthropic, ai, models, model, claude, company, open, companies, data, government, google, money, users, doesn"
9,5533,0.0461,"claude, chatgpt, gpt, code, ai, chat, codex, model, limits, models, claude code, coding, opus, usage, does"
11,4923,0.041,"ai, model, code, data, real, agent, models, agents, human, tools, problem, right, isn, tool, systems"
2,4502,0.0375,"gemini, claude, chatgpt, ai, gpt, google, chat, models, model, image, free, pro, best, grok, claude gemini"
