topic,n,share
capability_quality,23063,0.0934841207109706
corporate_money,21176,0.0858353093775967
regulation_policy,20389,0.0826452645872601
art_copyright,20049,0.0812671003830486
labour_displacement,19310,0.0782716199509536
other4,19137,0.0775703775764577
other2,18763,0.0760543969518251
companionship_use,17091,0.0692770718064085
other3,17015,0.0689690115725259
education_cheating,16430,0.0665977584564561
accuracy_hallucination,16049,0.0650534038629132
privacy_data,14284,0.0578991102734035
safety_alignment,12272,0.0497436209237754
other1,11677,0.0473318335664052
